site,name,year,month,day,tmin,tmax,date,working,demand,area_string
NC,Northcote,2015,10,05,11.1,33.5,2015-10-05,Weekday,18.9858457,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,05,11.1,33.5,2015-10-05,Weekday,13.62582227,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,06,14.4,35.3,2015-10-06,Weekday,21.94550586,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,06,14.4,35.3,2015-10-06,Weekday,17.11183789,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,06,14.4,35.3,2015-10-06,Weekday,14.85826855,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,07,9.6,17.6,2015-10-07,Weekday,16.73318359,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,07,9.6,17.6,2015-10-07,Weekday,16.03259082,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,07,9.6,17.6,2015-10-07,Weekday,11.17892676,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,08,4.5,23.8,2015-10-08,Weekday,16.57602148,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,08,4.5,23.8,2015-10-08,Weekday,15.2865,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,08,4.5,23.8,2015-10-08,Weekday,11.15085645,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,09,9.7,29.5,2015-10-09,Weekday,17.93733984,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,09,9.7,29.5,2015-10-09,Weekday,15.65654492,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,09,9.7,29.5,2015-10-09,Weekday,12.71108008,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,10,13.3,28.5,2015-10-10,Weekend,16.76926758,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,10,13.3,28.5,2015-10-10,Weekend,15.48762402,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,10,13.3,28.5,2015-10-10,Weekend,8.087380371,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,11,16.2,26.9,2015-10-11,Weekend,15.39020508,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,11,16.2,26.9,2015-10-11,Weekend,14.1969082,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,11,16.2,26.9,2015-10-11,Weekend,7.403719238,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,12,10.6,16.7,2015-10-12,Weekday,16.14741895,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,12,10.6,16.7,2015-10-12,Weekday,16.87930078,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,12,10.6,16.7,2015-10-12,Weekday,11.75843652,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,13,5.4,19.2,2015-10-13,Weekday,17.98214844,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,13,5.4,19.2,2015-10-13,Weekday,15.74839453,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,13,5.4,19.2,2015-10-13,Weekday,11.60579199,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,14,10.7,27.8,2015-10-14,Weekday,20.19122461,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,14,10.7,27.8,2015-10-14,Weekday,15.44660352,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,14,10.7,27.8,2015-10-14,Weekday,12.51443066,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,15,13.1,33.9,2015-10-15,Weekday,21.00230078,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,15,13.1,33.9,2015-10-15,Weekday,18.31914648,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,15,13.1,33.9,2015-10-15,Weekday,14.19796582,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,16,16,20.7,2015-10-16,Weekday,19.12842969,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,10,16,16,20.7,2015-10-16,Weekday,14.53799902,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,10,16,16,20.7,2015-10-16,Weekday,12.07954785,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,10,17,10.8,22,2015-10-17,Weekend,18.14231641,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
